rated,turns,victory_status,winner,base_time,increment,white_rating,black_rating,opening_eco
FALSE,13,outoftime,white,15,2,1500,1191,D10
TRUE,16,resign,black,5,10,1322,1261,B00
TRUE,61,mate,white,5,10,1496,1500,C20
TRUE,61,mate,white,20,0,1439,1454,D02
TRUE,95,mate,white,30,3,1523,1469,C41
FALSE,5,draw,draw,10,0,1250,1002,B27
TRUE,33,resign,white,10,0,1520,1423,D00
FALSE,9,resign,black,15,30,1413,2108,B00
TRUE,66,resign,black,15,0,1439,1392,C50
TRUE,119,mate,white,10,0,1381,1209,B01
FALSE,39,mate,white,20,60,1381,1272,A00
FALSE,38,resign,black,20,60,1381,1867,C02
FALSE,60,resign,black,5,40,1381,1936,C00
FALSE,31,resign,black,8,0,1381,1607,C00
FALSE,31,mate,white,15,15,1094,1141,C50
FALSE,43,resign,black,15,15,1141,1094,C57
FALSE,52,resign,black,15,15,1094,1141,C50
FALSE,66,mate,black,15,16,1141,1094,C50
FALSE,101,resign,black,15,15,1094,1300,C41
FALSE,25,resign,white,11,0,1500,1094,D00
FALSE,14,resign,black,15,15,1094,1676,C55
FALSE,3,resign,white,30,60,1094,1068,A40
FALSE,17,resign,white,15,5,1500,1094,B20
TRUE,36,resign,white,10,0,1307,1106,A25
TRUE,13,resign,black,10,0,1113,1423,B21
TRUE,69,mate,white,10,10,1078,1219,D01
TRUE,43,resign,white,10,10,1825,1079,C45
TRUE,54,mate,black,10,10,1328,1038,D01
TRUE,53,resign,black,10,10,1056,1156,D10
TRUE,66,mate,black,10,10,1077,1148,D06
TRUE,64,resign,black,10,10,1358,1036,B21
TRUE,64,mate,black,10,10,1200,1002,B52
TRUE,54,resign,white,10,10,1203,1019,B27
FALSE,21,resign,black,15,3,1019,1500,D20
FALSE,11,resign,white,18,0,1422,975,B20
TRUE,19,resign,black,10,0,976,1832,B06
TRUE,28,resign,white,10,0,1569,978,D00
FALSE,22,resign,black,15,0,978,1500,A45
FALSE,37,resign,white,15,0,1500,978,B77
FALSE,34,resign,white,30,30,2449,978,A21
